No.,State,District,Market,Commodity,Variety,Grade,Arrival Date,Min Price,Max Price,Modal Price
1,Himachal Pradesh,Kangra,Kangra(Baijnath),Potato,Potato,FAQ,09/09/2025,1600,2700,1600
2,Kerala,Kozhikode(Calicut),Palayam,Potato,Other,FAQ,09/09/2025,1900,2100,2000
3,Nagaland,Kohima,Kohima,Potato,Potato,FAQ,09/09/2025,4000,4200,4100
4,Punjab,Ludhiana,Sahnewal,Potato,Potato,FAQ,09/09/2025,1000,1000,1000
5,Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Potato,(Red Nanital),Local,09/09/2025,3300,3500,3500
6,Tamil Nadu,Krishnagiri,Krishnagiri(Uzhavar Sandhai ),Potato,(Red Nanital),Local,09/09/2025,2400,2800,2800
7,Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Potato,(Red Nanital),Local,09/09/2025,4200,4800,4800
8,Tamil Nadu,Namakkal,Paramathivelur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,09/09/2025,3500,4000,4000
9,Tamil Nadu,The Nilgiris,Udhagamandalam(Uzhavar Sandhai ),Potato,(Red Nanital),Local,09/09/2025,4000,4500,4500
10,Uttar Pradesh,Bulandshahar,Gulavati,Potato,Desi,FAQ,09/09/2025,1100,1300,1200
11,Uttar Pradesh,Hathras,Shadabad,Potato,Desi,FAQ,09/09/2025,1500,1600,1550
12,West Bengal,Hooghly,Champadanga,Potato,Jyoti,FAQ,09/09/2025,1320,1340,1320
13,Himachal Pradesh,Kangra,Dharamshala,Potato,Other,FAQ,09/09/2025,1400,3000,2200
14,Punjab,Amritsar,Rayya,Potato,Other,FAQ,09/09/2025,1500,1500,1500
15,Punjab,Tarntaran,Tarantaran,Potato,Other,FAQ,09/09/2025,70000,90000,80000
16,Rajasthan,Churu,Churu,Potato,(Red Nanital),Non-FAQ,09/09/2025,1100,1300,1200
17,Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Potato,(Red Nanital),Local,09/09/2025,2500,3500,3500
18,Tamil Nadu,Erode,Gobichettipalayam(Uzhavar Sandhai ),Potato,(Red Nanital),Local,09/09/2025,3800,4000,4000
19,Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ),Potato,(Red Nanital),Local,09/09/2025,3500,4000,4000
20,Tamil Nadu,Sivaganga,Sivagangai (Uzhavar Sandhai ),Potato,(Red Nanital),Local,09/09/2025,5000,5000,5000
21,Tamil Nadu,Theni,Andipatti(Uzhavar Sandhai ),Potato,(Red Nanital),Local,09/09/2025,2600,3000,3000
22,Tamil Nadu,Thiruvannamalai,Polur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,09/09/2025,3600,4000,4000
23,Tamil Nadu,Virudhunagar,Aruppukottai(Uzhavar Sandhai ),Potato,(Red Nanital),Local,09/09/2025,3500,4000,4000
24,Tripura,North Tripura,Dasda,Potato,Local,FAQ,09/09/2025,1700,1900,1800
25,Uttar Pradesh,Etah,Awagarh,Potato,Desi,FAQ,09/09/2025,90000,1200,1000
26,Uttar Pradesh,Khiri (Lakhimpur),Maigalganj,Potato,Desi,FAQ,09/09/2025,1600,1650,1625
